timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
1745239743.5603526,6.838,-1.604,7.187,-18.364,-45.791,-100.179,0.53375,-0.38873,-0.13394,-0.73886
1745239743.583756,6.838,-1.604,7.187,-18.386,-45.802,-100.135,0.53375,-0.38873,-0.13394,-0.73886
1745239743.583756,6.895,-1.647,7.178,-18.402,-45.807,-100.096,0.53375,-0.38873,-0.13394,-0.73886
1745239743.583756,6.895,-1.647,7.178,-18.413,-45.818,-100.058,0.53375,-0.38873,-0.13394,-0.73886
1745239743.5847573,7.092,-1.609,7.211,-18.424,-45.835,-100.02,0.53375,-0.38873,-0.13394,-0.73886
1745239743.5847573,7.092,-1.609,7.211,-18.43,-45.857,-99.976,0.53375,-0.38873,-0.13394,-0.73886
1745239743.585756,7.293,-1.647,7.341,-18.43,-45.879,-99.937,0.53375,-0.38873,-0.13394,-0.73886
1745239743.585756,7.293,-1.647,7.341,-18.424,-45.895,-99.893,0.53375,-0.38873,-0.13394,-0.73886
1745239743.6442401,7.661,-1.523,7.566,-18.419,-45.906,-99.855,0.53375,-0.38873,-0.13394,-0.73886
1745239743.646246,7.661,-1.523,7.566,-18.413,-45.917,-99.822,0.53375,-0.38873,-0.13394,-0.73886
1745239743.6474657,7.781,-1.369,7.805,-18.413,-45.917,-99.789,0.53375,-0.38873,-0.13394,-0.73886
1745239743.6482377,7.781,-1.369,7.805,-18.419,-45.906,-99.756,0.53375,-0.38873,-0.13394,-0.73886
1745239743.704788,7.906,-1.159,7.977,-18.413,-45.912,-99.734,0.53793,-0.38934,-0.13538,-0.73526
1745239743.753377,7.906,-1.159,7.977,-18.408,-45.928,-99.717,0.53793,-0.38934,-0.13538,-0.73526
1745239743.753377,8.27,-0.814,8.341,-18.386,-45.945,-99.723,0.53793,-0.38934,-0.13538,-0.73526
1745239743.754365,8.27,-0.814,8.341,-18.347,-45.967,-99.745,0.53793,-0.38934,-0.13538,-0.73526
1745239743.7553759,8.71,-0.508,8.509,-18.276,-45.961,-99.811,0.53793,-0.38934,-0.13538,-0.73526
1745239743.7553759,8.71,-0.508,8.509,-18.182,-45.939,-99.915,0.53793,-0.38934,-0.13538,-0.73526
1745239743.7563782,8.504,-0.35,8.365,-18.051,-45.906,-100.069,0.53793,-0.38934,-0.13538,-0.73526
1745239743.7563782,8.504,-0.35,8.365,-17.869,-45.857,-100.267,0.53793,-0.38934,-0.13538,-0.73526
1745239743.764363,8.729,0.038,8.475,-17.655,-45.824,-100.525,0.53793,-0.38934,-0.13538,-0.73526
1745239743.7653663,8.729,0.038,8.475,-17.397,-45.813,-100.833,0.53793,-0.38934,-0.13538,-0.73526
