timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
1745601952.5123172,6.029,2.892,7.336,17.397,-40.413,-130.287,0.43649,-0.25052,-0.27252,-0.81995
1745601952.51332,6.038,2.84,7.345,17.375,-40.402,-130.248,0.43649,-0.25052,-0.27252,-0.81995
1745601952.51332,6.038,2.84,7.345,17.353,-40.397,-130.21,0.43649,-0.25052,-0.27252,-0.81995
1745601952.514315,6.158,2.897,7.331,17.331,-40.391,-130.172,0.43649,-0.25052,-0.27252,-0.81995
1745601952.5427103,6.158,2.897,7.331,17.314,-40.391,-130.139,0.43649,-0.25052,-0.27252,-0.81995
1745601952.5967176,6.263,2.883,7.384,17.298,-40.397,-130.106,0.43649,-0.25052,-0.27252,-0.81995
1745601952.5977054,6.263,2.883,7.384,17.287,-40.402,-130.078,0.43649,-0.25052,-0.27252,-0.81995
1745601952.5987048,6.311,2.883,7.441,17.281,-40.402,-130.051,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6007056,6.311,2.883,7.441,17.276,-40.402,-130.029,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6007056,6.469,3.156,7.436,17.276,-40.402,-130.012,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6017113,6.469,3.156,7.436,17.281,-40.408,-130.007,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6017113,6.618,3.151,7.551,17.292,-40.419,-130.001,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6642408,6.618,3.151,7.551,17.309,-40.441,-130.001,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6942422,6.838,3.132,7.604,17.331,-40.457,-130.007,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6952512,6.838,3.132,7.604,17.353,-40.479,-130.012,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6962452,6.924,3.237,7.681,17.38,-40.501,-130.023,0.43649,-0.25052,-0.27252,-0.81995
1745601952.697245,6.924,3.237,7.681,17.408,-40.518,-130.04,0.43649,-0.25052,-0.27252,-0.81995
1745601952.6982405,6.881,3.5,7.685,17.441,-40.534,-130.067,0.43649,-0.25052,-0.27252,-0.81995
1745601952.7002409,6.881,3.5,7.685,17.485,-40.54,-130.106,0.43649,-0.25052,-0.27252,-0.81995
1745601952.701247,6.79,3.855,7.791,17.54,-40.545,-130.177,0.43649,-0.25052,-0.27252,-0.81995
1745601952.7227414,6.79,3.855,7.791,17.606,-40.534,-130.265,0.43649,-0.25052,-0.27252,-0.81995
1745601952.7247355,6.862,4.08,7.786,17.688,-40.518,-130.386,0.43649,-0.25052,-0.27252,-0.81995
1745601952.7257328,6.862,4.08,7.786,17.781,-40.485,-130.529,0.4368,-0.24994,-0.2746,-0.81927
1745601952.727743,6.761,4.266,7.642,17.908,-40.435,-130.699,0.4368,-0.24994,-0.2746,-0.81927
1745601952.7531073,6.761,4.266,7.642,18.051,-40.369,-130.891,0.4368,-0.24994,-0.2746,-0.81927
1745601952.7541087,6.704,4.626,7.393,18.237,-40.303,-131.122,0.4368,-0.24994,-0.2746,-0.81927
1745601952.7551022,6.704,4.626,7.393,18.463,-40.226,-131.391,0.4368,-0.24994,-0.2746,-0.81927
1745601952.7571034,6.776,4.865,7.197,18.792,-40.188,-131.765,0.4368,-0.24994,-0.2746,-0.81927
1745601952.7829022,6.776,4.865,7.197,19.122,-40.144,-132.138,0.4368,-0.24994,-0.2746,-0.81927
1745601952.8439307,7.101,4.932,6.991,19.55,-40.139,-132.594,0.4368,-0.24994,-0.2746,-0.81927
1745601952.8449054,7.101,4.932,6.991,19.973,-40.128,-133.044,0.4368,-0.24994,-0.2746,-0.81927
1745601952.8459046,7.494,5.124,6.747,20.479,-40.144,-133.566,0.4368,-0.24994,-0.2746,-0.81927
1745601952.846906,7.494,5.124,6.747,20.984,-40.161,-134.088,0.4368,-0.24994,-0.2746,-0.81927
1745601952.8479035,7.829,5.076,6.891,21.517,-40.177,-134.648,0.4368,-0.24994,-0.2746,-0.81927
1745601952.8489037,7.829,5.076,6.891,22.05,-40.193,-135.214,0.4368,-0.24994,-0.2746,-0.81927
1745601952.8499029,7.92,4.875,7.068,22.555,-40.177,-135.78,0.4368,-0.24994,-0.2746,-0.81927
1745601952.9330947,7.92,4.875,7.068,23.06,-40.161,-136.34,0.4368,-0.24994,-0.2746,-0.81927
1745601952.9630942,8.198,4.741,7.111,23.544,-40.111,-136.923,0.4368,-0.24994,-0.2746,-0.81927
1745601952.9640923,8.198,4.741,7.111,24.022,-40.062,-137.505,0.4368,-0.24994,-0.2746,-0.81927
1745601952.9661007,8.279,4.525,7.125,24.467,-39.941,-138.076,0.4368,-0.24994,-0.2746,-0.81927
1745601952.9670944,8.279,4.525,7.125,24.901,-39.82,-138.647,0.4368,-0.24994,-0.2746,-0.81927
1745601952.9681,7.57,4.372,7.379,25.312,-39.639,-139.197,0.4368,-0.24994,-0.2746,-0.81927
1745601952.9701004,7.57,4.372,7.379,25.719,-39.452,-139.746,0.4368,-0.24994,-0.2746,-0.81927
1745601952.971093,7.594,4.022,7.245,26.12,-39.243,-140.301,0.38458,-0.23615,-0.31061,-0.83652
1745601952.9720926,7.594,4.022,7.245,26.51,-39.034,-140.845,0.38458,-0.23615,-0.31061,-0.83652
