timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
1745602279.0655425,5.21,0.8,8.428,3.807,-35.052,-136.143,0.35742,-0.26804,-0.13998,-0.88358
1745602279.0665386,5.21,0.8,8.428,3.752,-35.074,-136.027,0.35742,-0.26804,-0.13998,-0.88358
1745602279.0685387,5.425,0.881,8.485,3.708,-35.085,-135.89,0.35742,-0.26804,-0.13998,-0.88358
1745602279.0695388,5.425,0.881,8.485,3.664,-35.101,-135.753,0.35742,-0.26804,-0.13998,-0.88358
1745602279.096866,5.488,1.034,8.595,3.609,-35.107,-135.588,0.35742,-0.26804,-0.13998,-0.88358
1745602279.1742933,5.488,1.034,8.595,3.554,-35.112,-135.417,0.35742,-0.26804,-0.13998,-0.88358
1745602279.1742933,5.607,1.25,8.71,3.483,-35.118,-135.22,0.35742,-0.26804,-0.13998,-0.88358
1745602279.175302,5.607,1.25,8.71,3.411,-35.118,-135.022,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1762948,5.842,1.451,8.801,3.329,-35.129,-134.797,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1773033,5.842,1.451,8.801,3.246,-35.14,-134.572,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1773033,5.895,1.642,8.811,3.159,-35.14,-134.33,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1783063,5.895,1.642,8.811,3.076,-35.145,-134.099,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1858556,5.981,1.92,8.777,2.994,-35.134,-133.863,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1858556,5.981,1.92,8.777,2.917,-35.123,-133.632,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1868618,6.153,1.92,8.633,2.862,-35.09,-133.429,0.3721,-0.26776,-0.1416,-0.87732
1745602279.1868618,6.153,1.92,8.633,2.807,-35.063,-133.226,0.3721,-0.26776,-0.1416,-0.87732
1745602279.244797,5.89,1.767,8.49,2.802,-35.041,-133.077,0.3721,-0.26776,-0.1416,-0.87732
1745602279.2903266,5.89,1.767,8.49,2.791,-35.019,-132.924,0.3721,-0.26776,-0.1416,-0.87732
1745602279.2913277,5.698,1.642,8.313,2.823,-35.019,-132.836,0.3721,-0.26776,-0.1416,-0.87732
1745602279.2913277,5.698,1.642,8.313,2.856,-35.024,-132.742,0.3721,-0.26776,-0.1416,-0.87732
1745602279.2923405,5.78,1.595,8.155,2.922,-35.008,-132.72,0.3721,-0.26776,-0.1416,-0.87732
1745602279.2933307,5.78,1.595,8.155,2.994,-34.997,-132.693,0.3721,-0.26776,-0.1416,-0.87732
1745602279.2943282,5.459,1.532,8.179,3.093,-34.937,-132.726,0.3721,-0.26776,-0.1416,-0.87732
1745602279.2943282,5.459,1.532,8.179,3.192,-34.882,-132.759,0.3721,-0.26776,-0.1416,-0.87732
1745602279.3351223,5.09,1.633,8.045,3.323,-34.816,-132.836,0.3721,-0.26776,-0.1416,-0.87732
1745602279.336123,5.09,1.633,8.045,3.45,-34.75,-132.907,0.3721,-0.26776,-0.1416,-0.87732
