timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,AsX,AsY,AsZ,Q0,Q1,Q2,Q3
1746364596.4069796,-5.277,-0.599,7.992,-1.972,31.465,81.299,0.72626,-0.18185,0.1922,0.63437
1746364596.4325545,-5.54,-0.666,7.647,-1.945,31.465,81.222,0.72626,-0.18185,0.1922,0.63437
1746364596.433555,-5.54,-0.666,7.647,-1.912,31.465,81.145,0.72626,-0.18185,0.1922,0.63437
1746364596.4345548,-5.344,-0.742,8.035,-1.879,31.454,81.063,0.72626,-0.18185,0.1922,0.63437
1746364596.435558,-5.344,-0.742,8.035,-1.851,31.443,80.975,0.72626,-0.18185,0.1922,0.63437
1746364596.4365537,-5.042,-0.599,8.303,-1.868,31.459,80.903,0.72626,-0.18185,0.1922,0.63437
1746364596.4365537,-5.042,-0.599,8.303,-1.89,31.476,80.832,0.72943,-0.18784,0.19608,0.62778
1746364596.4375577,-5.104,-0.785,8.097,-1.961,31.553,80.755,0.72943,-0.18784,0.19608,0.62778
1746364596.4966915,-5.104,-0.785,8.097,-2.032,31.624,80.678,0.72943,-0.18784,0.19608,0.62778
1746364596.4987266,-5.468,-0.728,7.977,-2.12,31.701,80.662,0.72943,-0.18784,0.19608,0.62778
1746364596.4997134,-5.468,-0.728,7.977,-2.208,31.778,80.645,0.72943,-0.18784,0.19608,0.62778
1746364596.5017128,-5.516,-0.532,8.279,-2.241,31.849,80.601,0.72943,-0.18784,0.19608,0.62778
1746364596.5017128,-5.516,-0.532,8.279,-2.28,31.921,80.563,0.72943,-0.18784,0.19608,0.62778
1746364596.5027273,-5.435,-0.484,8.432,-2.258,31.965,80.513,0.72943,-0.18784,0.19608,0.62778
1746364596.5041926,-5.435,-0.484,8.432,-2.236,32.009,80.458,0.72943,-0.18784,0.19608,0.62778
1746364596.504986,-5.55,-0.57,8.317,-2.203,32.053,80.392,0.72943,-0.18784,0.19608,0.62778
1746364596.526554,-5.55,-0.57,8.317,-2.175,32.091,80.321,0.72943,-0.18784,0.19608,0.62778
1746364596.5665193,-5.626,-0.766,8.231,-2.148,32.141,80.266,0.72943,-0.18784,0.19608,0.62778
1746364596.5665193,-5.626,-0.766,8.231,-2.12,32.19,80.217,0.72943,-0.18784,0.19608,0.62778
1746364596.5665193,-5.531,-0.551,8.25,-2.049,32.278,80.129,0.72943,-0.18784,0.19608,0.62778
1746364596.6477425,-5.531,-0.551,8.25,-1.978,32.36,80.046,0.72943,-0.18784,0.19608,0.62778
1746364596.677218,-5.593,-0.445,8.341,-1.956,32.503,79.958,0.72943,-0.18784,0.19608,0.62778
1746364596.6792433,-5.593,-0.445,8.341,-1.939,32.64,79.871,0.72943,-0.18784,0.19608,0.62778
1746364596.6806245,-5.942,-0.575,8.351,-1.983,32.783,79.783,0.72943,-0.18784,0.19608,0.62778
1746364596.6816254,-5.942,-0.575,8.351,-2.027,32.932,79.695,0.72943,-0.18784,0.19608,0.62778
1746364596.6826267,-6.024,-0.488,8.198,-1.978,33.036,79.596,0.72943,-0.18784,0.19608,0.62778
1746364596.6836233,-6.024,-0.488,8.198,-1.923,33.14,79.497,0.72943,-0.18784,0.19608,0.62778
1746364596.6836233,-6.029,-0.594,8.169,-1.791,33.19,79.404,0.72943,-0.18784,0.19608,0.62778
1746364596.6836233,-6.029,-0.594,8.169,-1.659,33.245,79.31,0.72943,-0.18784,0.19608,0.62778
1746364596.6836233,-5.832,-0.187,8.49,-1.555,33.305,79.233,0.72943,-0.18784,0.19608,0.62778
1746364596.6836233,-5.832,-0.187,8.49,-1.456,33.371,79.156,0.73541,-0.19275,0.2124,0.61383
1746364596.6836233,-5.895,-0.091,8.265,-1.368,33.475,79.107,0.73541,-0.19275,0.2124,0.61383
1746364596.7671008,-5.895,-0.091,8.265,-1.28,33.574,79.058,0.73541,-0.19275,0.2124,0.61383
1746364596.812363,-5.823,0.096,8.179,-1.236,33.745,78.953,0.73541,-0.19275,0.2124,0.61383
1746364596.812363,-5.823,0.096,8.179,-1.198,33.915,78.854,0.73541,-0.19275,0.2124,0.61383
1746364596.8143647,-6.172,-0.388,7.781,-1.247,34.107,78.788,0.73541,-0.19275,0.2124,0.61383
1746364596.8153682,-6.172,-0.388,7.781,-1.296,34.299,78.717,0.73541,-0.19275,0.2124,0.61383
1746364596.8153682,-6.163,0.019,7.901,-1.329,34.475,78.596,0.73541,-0.19275,0.2124,0.61383
1746364596.8163671,-6.163,0.019,7.901,-1.362,34.645,78.475,0.73541,-0.19275,0.2124,0.61383
1746364596.8163671,-6.584,-0.306,7.254,-1.296,34.783,78.322,0.73541,-0.19275,0.2124,0.61383
1746364596.817364,-6.584,-0.306,7.254,-1.23,34.92,78.173,0.73541,-0.19275,0.2124,0.61383
1746364596.8183734,-6.622,-0.373,7.063,-1.269,34.926,78.047,0.73541,-0.19275,0.2124,0.61383
1746364596.8183734,-6.622,-0.373,7.063,-1.302,34.937,77.915,0.73541,-0.19275,0.2124,0.61383
1746364596.8193674,-6.1,-0.555,7.915,-1.346,34.931,77.794,0.73541,-0.19275,0.2124,0.61383
1746364596.8265746,-6.1,-0.555,7.915,-1.395,34.92,77.673,0.73541,-0.19275,0.2124,0.61383
1746364596.827579,-3.012,-0.239,4.008,-1.45,34.915,77.574,0.73541,-0.19275,0.2124,0.61383
1746364596.827579,-3.012,-0.239,4.008,-1.5,34.909,77.476,0.73541,-0.19275,0.2124,0.61383
1746364596.828576,-5.823,-0.153,8.408,-1.527,34.942,77.344,0.73541,-0.19275,0.2124,0.61383
