timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
1745186081.942934,9.687,-0.139,2.308,-6.163,-76.393,-128.979,-0.29135,0.58118,0.21869,0.7276
1745186081.942934,9.596,-0.225,2.342,-6.213,-76.382,-128.864,-0.29135,0.58118,0.21869,0.7276
1745186081.9439313,9.596,-0.225,2.342,-6.262,-76.371,-128.776,-0.29135,0.58118,0.21869,0.7276
1745186081.9449303,9.457,-0.105,2.523,-6.284,-76.355,-128.727,-0.29135,0.58118,0.21869,0.7276
1745186081.9879272,9.457,-0.105,2.523,-6.279,-76.339,-128.71,-0.29135,0.58118,0.21869,0.7276
1745186082.060213,9.505,-0.062,2.456,-6.29,-76.317,-128.666,-0.29135,0.58118,0.21869,0.7276
1745186082.0612085,9.505,-0.062,2.456,-6.312,-76.289,-128.584,-0.29135,0.58118,0.21869,0.7276
1745186082.062217,9.51,-0.12,2.476,-6.356,-76.273,-128.491,-0.29135,0.58118,0.21869,0.7276
1745186082.062217,9.51,-0.12,2.476,-6.427,-76.278,-128.381,-0.31033,0.57428,0.22861,0.72214
1745186082.0632126,9.481,-0.168,2.476,-6.487,-76.273,-128.271,-0.31033,0.57428,0.22861,0.72214
1745186082.0632126,9.481,-0.168,2.476,-6.531,-76.267,-128.161,-0.31033,0.57428,0.22861,0.72214
1745186082.0642087,9.515,-0.172,2.466,-6.592,-76.256,-128.046,-0.31033,0.57428,0.22861,0.72214
1745186082.0772088,9.515,-0.172,2.466,-6.663,-76.245,-127.93,-0.31033,0.57428,0.22861,0.72214
1745186082.0782099,9.448,-0.311,2.504,-6.707,-76.212,-127.837,-0.31033,0.57428,0.22861,0.72214
1745186082.0792096,9.448,-0.311,2.504,-6.757,-76.179,-127.749,-0.31033,0.57428,0.22861,0.72214
1745186082.0792096,9.457,-0.369,2.552,-6.806,-76.157,-127.634,-0.31033,0.57428,0.22861,0.72214
1745186082.1373837,9.457,-0.369,2.552,-6.866,-76.135,-127.513,-0.31033,0.57428,0.22861,0.72214
1745186082.234761,9.51,-0.35,2.404,-6.921,-76.108,-127.381,-0.31033,0.57428,0.22861,0.72214
1745186082.234761,9.51,-0.35,2.404,-6.976,-76.08,-127.249,-0.31033,0.57428,0.22861,0.72214
1745186082.23576,9.534,-0.522,2.394,-7.026,-76.053,-127.123,-0.31033,0.57428,0.22861,0.72214
1745186082.2367635,9.534,-0.522,2.394,-7.075,-76.025,-126.996,-0.31033,0.57428,0.22861,0.72214
1745186082.2377634,9.51,-0.541,2.385,-7.048,-76.009,-126.936,-0.31033,0.57428,0.22861,0.72214
1745186082.3016503,9.51,-0.541,2.385,-7.031,-75.998,-126.87,-0.31033,0.57428,0.22861,0.72214
1745186082.3026524,9.572,-0.393,2.413,-6.976,-75.992,-126.843,-0.31033,0.57428,0.22861,0.72214
1745186082.3036463,9.572,-0.393,2.413,-6.927,-75.981,-126.81,-0.31033,0.57428,0.22861,0.72214
1745186082.3036463,9.553,-0.373,2.437,-6.817,-75.965,-126.865,-0.31033,0.57428,0.22861,0.72214
1745186082.3046446,9.553,-0.373,2.437,-6.707,-75.948,-126.92,-0.31912,0.57043,0.23282,0.72003
1745186082.3046446,9.543,-0.259,2.375,-6.619,-75.927,-126.942,-0.31912,0.57043,0.23282,0.72003
1745186082.305645,9.543,-0.259,2.375,-6.531,-75.91,-126.964,-0.31912,0.57043,0.23282,0.72003
1745186082.305645,9.572,-0.153,2.389,-6.416,-75.866,-127.04,-0.31912,0.57043,0.23282,0.72003
1745186082.3066447,9.572,-0.153,2.389,-6.295,-75.828,-127.112,-0.31912,0.57043,0.23282,0.72003
1745186082.3066447,9.534,-0.153,2.394,-6.169,-75.789,-127.183,-0.31912,0.57043,0.23282,0.72003
1745186082.3076437,9.534,-0.153,2.394,-6.037,-75.751,-127.249,-0.31912,0.57043,0.23282,0.72003
1745186082.3076437,9.481,-0.057,2.456,-5.977,-75.751,-127.238,-0.31912,0.57043,0.23282,0.72003
1745186082.3076437,9.481,-0.057,2.456,-5.911,-75.751,-127.227,-0.31912,0.57043,0.23282,0.72003
1745186082.308644,9.409,-0.043,2.533,-5.867,-75.74,-127.183,-0.31912,0.57043,0.23282,0.72003
1745186082.3216562,9.409,-0.043,2.533,-5.823,-75.734,-127.145,-0.31912,0.57043,0.23282,0.72003
1745186082.3226483,9.333,-0.024,2.61,-5.79,-75.734,-127.123,-0.31912,0.57043,0.23282,0.72003
1745186082.3236477,9.333,-0.024,2.61,-5.757,-75.734,-127.095,-0.31912,0.57043,0.23282,0.72003
1745186082.3246486,9.361,-0.005,2.686,-5.735,-75.745,-127.051,-0.31912,0.57043,0.23282,0.72003
1745186082.3769443,9.361,-0.005,2.686,-5.718,-75.762,-127.007,-0.31912,0.57043,0.23282,0.72003
1745186082.4750533,9.5,-0.091,2.452,-5.735,-75.756,-126.903,-0.31912,0.57043,0.23282,0.72003
1745186082.4760466,9.5,-0.091,2.452,-5.746,-75.751,-126.799,-0.31912,0.57043,0.23282,0.72003
1745186082.4760466,9.376,-0.005,2.504,-5.74,-75.745,-126.788,-0.31912,0.57043,0.23282,0.72003
1745186082.4760466,9.376,-0.005,2.504,-5.729,-75.734,-126.777,-0.31912,0.57043,0.23282,0.72003
1745186082.4770458,9.222,0.096,2.682,-5.746,-75.696,-126.749,-0.31912,0.57043,0.23282,0.72003
1745186082.5565646,9.222,0.096,2.682,-5.762,-75.652,-126.722,-0.31912,0.57043,0.23282,0.72003
1745186082.5572054,9.237,-0.024,2.71,-5.861,-75.602,-126.562,-0.31912,0.57043,0.23282,0.72003
1745186082.5582128,9.237,-0.024,2.71,-5.96,-75.547,-126.414,-0.31912,0.57043,0.23282,0.72003
1745186082.5582128,9.309,-0.134,2.691,-5.966,-75.454,-126.365,-0.31912,0.57043,0.23282,0.72003
1745186082.5582128,9.309,-0.134,2.691,-5.971,-75.355,-126.315,-0.31912,0.57043,0.23282,0.72003
1745186082.5592117,9.199,-0.177,2.705,-5.982,-75.267,-126.161,-0.31912,0.57043,0.23282,0.72003
1745186082.5592117,9.199,-0.177,2.705,-5.999,-75.174,-126.002,-0.31912,0.57043,0.23282,0.72003
1745186082.5602129,9.385,-0.33,2.619,-6.015,-75.141,-125.87,-0.31912,0.57043,0.23282,0.72003
1745186082.5602129,9.385,-0.33,2.619,-6.031,-75.114,-125.744,-0.31912,0.57043,0.23282,0.72003
1745186082.5602129,9.323,-0.321,2.619,-5.96,-75.053,-125.744,-0.31912,0.57043,0.23282,0.72003
1745186082.561211,9.323,-0.321,2.619,-5.894,-74.998,-125.744,-0.31912,0.57043,0.23282,0.72003
1745186082.561211,9.495,-0.235,2.586,-5.652,-74.965,-125.92,-0.31912,0.57043,0.23282,0.72003
1745186082.561211,9.495,-0.235,2.586,-5.416,-74.932,-126.096,-0.31912,0.57043,0.23282,0.72003
1745186082.5622132,9.376,-0.005,2.605,-5.301,-74.894,-126.123,-0.31912,0.57043,0.23282,0.72003
1745186082.5622132,9.376,-0.005,2.605,-5.186,-74.855,-126.156,-0.31912,0.57043,0.23282,0.72003
1745186082.5622132,9.424,-0.072,2.495,-4.971,-74.877,-126.216,-0.31912,0.57043,0.23282,0.72003
1745186082.5632107,9.424,-0.072,2.495,-4.752,-74.905,-126.271,-0.31912,0.57043,0.23282,0.72003
1745186082.5632107,9.414,0.23,2.658,-4.653,-74.921,-126.282,-0.31912,0.57043,0.23282,0.72003
1745186082.617816,9.414,0.23,2.658,-4.554,-74.932,-126.299,-0.31912,0.57043,0.23282,0.72003
1745186082.6922147,9.376,0.086,2.72,-4.488,-74.949,-126.233,-0.31912,0.57043,0.23282,0.72003
1745186082.6932135,9.376,0.086,2.72,-4.422,-74.965,-126.167,-0.31912,0.57043,0.23282,0.72003
1745186082.694215,9.189,-0.096,2.844,-4.274,-74.993,-126.227,-0.31912,0.57043,0.23282,0.72003
1745186082.6952136,9.189,-0.096,2.844,-4.125,-75.02,-126.288,-0.31912,0.57043,0.23282,0.72003
1745186082.6962159,9.232,0.134,2.763,-3.988,-75.048,-126.376,-0.31912,0.57043,0.23282,0.72003
1745186082.6972046,9.232,0.134,2.763,-3.851,-75.075,-126.469,-0.33853,0.55569,0.25015,0.71686
1745186082.6982079,9.112,0.259,2.734,-3.79,-75.086,-126.403,-0.33853,0.55569,0.25015,0.71686
1745186082.699208,9.112,0.259,2.734,-3.73,-75.092,-126.337,-0.33853,0.55569,0.25015,0.71686
1745186082.7004375,9.27,-0.168,2.538,-3.878,-75.13,-126.041,-0.33853,0.55569,0.25015,0.71686
1745186082.7004375,9.27,-0.168,2.538,-4.032,-75.163,-125.744,-0.33853,0.55569,0.25015,0.71686
1745186082.701439,8.993,-0.283,2.653,-4.07,-75.179,-125.574,-0.33853,0.55569,0.25015,0.71686
1745186082.737358,8.993,-0.283,2.653,-4.109,-75.196,-125.403,-0.33853,0.55569,0.25015,0.71686
1745186082.8477306,8.648,-0.067,2.902,-4.175,-75.234,-125.206,-0.33853,0.55569,0.25015,0.71686
1745186083.0965724,8.648,-0.067,2.902,-4.241,-75.278,-125.002,-0.33853,0.55569,0.25015,0.71686
1745186083.1791296,8.495,0.091,2.902,-4.169,-75.355,-124.931,-0.33853,0.55569,0.25015,0.71686
1745186083.1803372,8.495,0.091,2.902,-4.092,-75.427,-124.86,-0.33853,0.55569,0.25015,0.71686
1745186083.1813402,8.322,0.263,2.83,-4.01,-75.498,-124.865,-0.33853,0.55569,0.25015,0.71686
1745186083.1813402,8.322,0.263,2.83,-3.928,-75.569,-124.871,-0.33853,0.55569,0.25015,0.71686
1745186083.1823382,8.03,0.508,2.825,-3.867,-75.575,-124.838,-0.33853,0.55569,0.25015,0.71686
1745186083.1823382,8.03,0.508,2.825,-3.807,-75.58,-124.805,-0.33853,0.55569,0.25015,0.71686
1745186083.1823382,8.337,0.22,2.423,-3.741,-75.536,-124.783,-0.33853,0.55569,0.25015,0.71686
1745186083.1833384,8.337,0.22,2.423,-3.68,-75.498,-124.761,-0.33853,0.55569,0.25015,0.71686
1745186083.1833384,8.246,-0.115,2.342,-3.724,-75.46,-124.618,-0.33853,0.55569,0.25015,0.71686
1745186083.1843379,8.246,-0.115,2.342,-3.768,-75.421,-124.475,-0.33853,0.55569,0.25015,0.71686
