timestamp,AccX,AccY,AccZ,AngX,AngY,AngZ,Q0,Q1,Q2,Q3
1745187070.4894302,9.744,-0.508,1.618,-28.032,-82.853,-98.163,0.35568,-0.60388,-0.28293,-0.65472
1745187070.4904287,9.744,-0.508,1.618,-28.021,-82.87,-98.174,0.35568,-0.60388,-0.28293,-0.65472
1745187070.4904287,9.701,-0.407,1.719,-28.004,-82.881,-98.19,0.35568,-0.60388,-0.28293,-0.65472
1745187070.4914284,9.701,-0.407,1.719,-27.971,-82.897,-98.212,0.35568,-0.60388,-0.28293,-0.65472
1745187070.5504758,9.697,-0.431,1.618,-27.949,-82.908,-98.223,0.35568,-0.60388,-0.28293,-0.65472
1745187070.601818,9.697,-0.431,1.618,-27.938,-82.919,-98.212,0.35568,-0.60388,-0.28293,-0.65472
1745187070.603822,9.658,-0.436,1.638,-27.938,-82.93,-98.185,0.35568,-0.60388,-0.28293,-0.65472
1745187070.6048193,9.658,-0.436,1.638,-27.96,-82.936,-98.141,0.35568,-0.60388,-0.28293,-0.65472
1745187070.605819,9.72,-0.373,1.628,-27.949,-82.941,-98.13,0.35568,-0.60388,-0.28293,-0.65472
1745187070.6068203,9.72,-0.373,1.628,-27.916,-82.952,-98.168,0.35568,-0.60388,-0.28293,-0.65472
1745187070.6078131,9.759,-0.421,1.614,-27.916,-82.952,-98.152,0.35568,-0.60388,-0.28293,-0.65472
1745187070.608814,9.759,-0.421,1.614,-27.944,-82.947,-98.075,0.35568,-0.60388,-0.28293,-0.65472
1745187070.6098187,9.759,-0.57,1.513,-27.971,-82.941,-98.009,0.35568,-0.60388,-0.28293,-0.65472
1745187070.6110826,9.759,-0.57,1.513,-27.999,-82.947,-97.954,0.35568,-0.60388,-0.28293,-0.65472
1745187070.6120765,9.701,-0.488,1.666,-27.949,-82.952,-97.982,0.35568,-0.60388,-0.28293,-0.65472
1745187070.613077,9.701,-0.488,1.666,-27.817,-82.952,-98.086,0.35568,-0.60388,-0.28293,-0.65472
1745187070.6714218,9.773,-0.388,1.542,-27.675,-82.958,-98.212,0.35568,-0.60388,-0.28293,-0.65472
1745187070.7064176,9.773,-0.388,1.542,-27.532,-82.963,-98.361,0.35568,-0.60388,-0.28293,-0.65472
1745187070.7079494,9.701,-0.278,1.604,-27.389,-82.963,-98.492,0.35568,-0.60388,-0.28293,-0.65472
1745187070.7091277,9.701,-0.278,1.604,-27.246,-82.958,-98.624,0.35568,-0.60388,-0.28293,-0.65472
1745187070.709944,9.759,-0.249,1.532,-27.175,-82.958,-98.685,0.35632,-0.60315,-0.2858,-0.65378
1745187070.709944,9.759,-0.249,1.532,-27.175,-82.958,-98.674,0.35632,-0.60315,-0.2858,-0.65378
1745187070.7119398,9.859,-0.517,1.719,-27.197,-82.963,-98.641,0.35632,-0.60315,-0.2858,-0.65378
1745187070.7119398,9.859,-0.517,1.719,-27.252,-82.969,-98.586,0.35632,-0.60315,-0.2858,-0.65378
1745187070.76017,9.855,-0.441,1.484,-27.197,-82.958,-98.602,0.35632,-0.60315,-0.2858,-0.65378
1745187070.7621746,9.855,-0.441,1.484,-27.032,-82.936,-98.701,0.35632,-0.60315,-0.2858,-0.65378
1745187070.763173,9.792,-0.421,1.465,-26.862,-82.919,-98.822,0.35632,-0.60315,-0.2858,-0.65378
1745187070.764524,9.792,-0.421,1.465,-26.686,-82.908,-98.976,0.35632,-0.60315,-0.2858,-0.65378
1745187070.7910683,9.826,-0.421,1.475,-26.587,-82.914,-99.075,0.35632,-0.60315,-0.2858,-0.65378
1745187070.815064,9.826,-0.421,1.475,-26.576,-82.93,-99.108,0.35632,-0.60315,-0.2858,-0.65378
1745187070.815064,9.725,-0.383,1.566,-26.505,-82.936,-99.174,0.35632,-0.60315,-0.2858,-0.65378
1745187070.8160634,9.725,-0.383,1.566,-26.378,-82.919,-99.267,0.35632,-0.60315,-0.2858,-0.65378
1745187070.8200607,9.754,-0.498,1.513,-26.213,-82.897,-99.393,0.35632,-0.60315,-0.2858,-0.65378
1745187070.8210642,9.754,-0.498,1.513,-26.021,-82.875,-99.564,0.35632,-0.60315,-0.2858,-0.65378
1745187070.822061,9.658,-0.412,1.652,-25.856,-82.859,-99.739,0.35632,-0.60315,-0.2858,-0.65378
1745187070.82306,9.658,-0.412,1.652,-25.708,-82.859,-99.932,0.35632,-0.60315,-0.2858,-0.65378
1745187070.8813963,9.562,-0.244,1.81,-25.56,-82.848,-100.107,0.35632,-0.60315,-0.2858,-0.65378
1745187070.8823996,9.562,-0.244,1.81,-25.406,-82.831,-100.261,0.35632,-0.60315,-0.2858,-0.65378
1745187070.8834083,9.515,-0.33,1.748,-25.247,-82.809,-100.399,0.35632,-0.60315,-0.2858,-0.65378
1745187070.8843968,9.515,-0.33,1.748,-25.082,-82.782,-100.503,0.35632,-0.60315,-0.2858,-0.65378
1745187070.9108493,9.577,-0.345,1.786,-24.89,-82.744,-100.624,0.358,-0.60019,-0.28754,-0.65485
1745187070.9712782,9.577,-0.345,1.786,-24.686,-82.694,-100.761,0.358,-0.60019,-0.28754,-0.65485
1745187070.9732788,9.519,-0.393,1.939,-24.587,-82.667,-100.805,0.358,-0.60019,-0.28754,-0.65485
1745187070.974626,9.519,-0.393,1.939,-24.494,-82.639,-100.849,0.358,-0.60019,-0.28754,-0.65485
1745187070.9752831,9.524,-0.426,1.877,-24.313,-82.612,-100.964,0.358,-0.60019,-0.28754,-0.65485
1745187070.9766314,9.524,-0.426,1.877,-24.131,-82.584,-101.08,0.358,-0.60019,-0.28754,-0.65485
1745187070.9772782,9.543,-0.273,1.81,-24.093,-82.579,-101.052,0.358,-0.60019,-0.28754,-0.65485
1745187070.978646,9.543,-0.273,1.81,-24.055,-82.568,-101.036,0.358,-0.60019,-0.28754,-0.65485
1745187071.0008624,9.61,-0.34,1.647,-24.044,-82.573,-101.003,0.358,-0.60019,-0.28754,-0.65485
1745187071.0028632,9.61,-0.34,1.647,-24.038,-82.579,-100.97,0.358,-0.60019,-0.28754,-0.65485
1745187071.0038643,9.606,-0.373,1.642,-23.851,-82.573,-101.151,0.358,-0.60019,-0.28754,-0.65485
1745187071.0038643,9.606,-0.373,1.642,-23.665,-82.568,-101.327,0.358,-0.60019,-0.28754,-0.65485
1745187071.0308669,9.51,-0.34,1.614,-23.324,-82.529,-101.607,0.358,-0.60019,-0.28754,-0.65485
1745187071.157263,9.51,-0.34,1.614,-22.994,-82.491,-101.876,0.358,-0.60019,-0.28754,-0.65485
1745187071.15826,9.467,-0.259,1.69,-22.764,-82.463,-102.057,0.358,-0.60019,-0.28754,-0.65485
1745187071.1592605,9.467,-0.259,1.69,-22.538,-82.436,-102.239,0.36264,-0.59549,-0.29108,-0.65503
1745187071.160263,9.361,-0.297,1.911,-22.225,-82.408,-102.508,0.36264,-0.59549,-0.29108,-0.65503
1745187071.160263,9.361,-0.297,1.911,-21.918,-82.381,-102.783,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1612613,9.232,-0.177,1.992,-21.671,-82.375,-103.008,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1612613,9.232,-0.177,1.992,-21.418,-82.37,-103.239,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1612613,9.184,-0.014,2.006,-21.16,-82.348,-103.431,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1622612,9.184,-0.014,2.006,-20.901,-82.321,-103.629,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1622612,9.285,-0.168,1.872,-20.577,-82.31,-103.947,0.36264,-0.59549,-0.29108,-0.65503
1745187071.163261,9.285,-0.168,1.872,-20.259,-82.293,-104.271,0.36264,-0.59549,-0.29108,-0.65503
1745187071.163261,9.117,-0.062,2.069,-20.149,-82.332,-104.442,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1642637,9.117,-0.062,2.069,-20.034,-82.365,-104.623,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1642637,9.098,-0.268,2.073,-19.984,-82.403,-104.683,0.36264,-0.59549,-0.29108,-0.65503
1745187071.1652613,9.098,-0.268,2.073,-19.929,-82.441,-104.744,0.36264,-0.59549,-0.29108,-0.65503
1745187071.210411,9.131,-0.436,1.714,-19.759,-82.474,-104.881,0.36264,-0.59549,-0.29108,-0.65503
1745187071.2117546,9.131,-0.436,1.714,-19.6,-82.507,-105.018,0.36264,-0.59549,-0.29108,-0.65503
1745187071.2124074,9.074,-0.373,1.714,-19.341,-82.568,-105.315,0.36264,-0.59549,-0.29108,-0.65503
1745187071.2137525,9.074,-0.373,1.714,-19.083,-82.628,-105.612,0.36264,-0.59549,-0.29108,-0.65503
1745187071.240331,8.95,-0.144,1.949,-18.726,-82.694,-106.024,0.36264,-0.59549,-0.29108,-0.65503
1745187071.2421343,8.95,-0.144,1.949,-18.358,-82.755,-106.441,0.36264,-0.59549,-0.29108,-0.65503
1745187071.2429864,8.94,0.263,1.791,-18.078,-82.809,-106.743,0.36264,-0.59549,-0.29108,-0.65503
1745187071.2439816,8.94,0.263,1.791,-17.781,-82.859,-107.062,0.36264,-0.59549,-0.29108,-0.65503
1745187071.2703822,8.945,-0.072,1.537,-17.501,-82.914,-107.353,0.36264,-0.59549,-0.29108,-0.65503
1745187071.335046,8.945,-0.072,1.537,-17.216,-82.969,-107.644,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3360486,8.71,-0.062,1.556,-16.968,-83.073,-107.957,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3370528,8.71,-0.062,1.556,-16.716,-83.177,-108.281,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3390512,8.945,0.263,1.642,-16.677,-83.304,-108.397,0.36264,-0.59549,-0.29108,-0.65503
1745187071.340053,8.945,0.263,1.642,-16.622,-83.43,-108.517,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3410566,9.357,-0.445,1.393,-16.441,-83.518,-108.726,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3420568,9.357,-0.445,1.393,-16.276,-83.611,-108.918,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3600316,9.347,-0.934,1.389,-15.573,-83.727,-109.759,0.36264,-0.59549,-0.29108,-0.65503
1745187071.361042,9.347,-0.934,1.389,-14.865,-83.842,-110.599,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3620327,9.093,-0.283,1.58,-13.876,-83.996,-111.736,0.36264,-0.59549,-0.29108,-0.65503
1745187071.36303,9.093,-0.283,1.58,-12.838,-84.15,-112.917,0.36264,-0.59549,-0.29108,-0.65503
1745187071.3911085,8.897,0.268,1.571,-11.838,-84.304,-113.978,0.36264,-0.59549,-0.29108,-0.65503
1745187071.425414,8.897,0.268,1.571,-10.767,-84.457,-115.109,0.36264,-0.59549,-0.29108,-0.65503
