address,timestamp,AccX,AccY,AccZ,Q0,Q1,Q2,Q3
C3:16:82:EF:1B:48,1748009015.4574075,0.115,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.4716978,0.115,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.4716978,0.11,-0.057,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.4753437,0.11,-0.057,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.4753437,0.115,-0.053,10.051,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.476345,0.115,-0.053,10.051,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.476345,0.115,-0.048,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.4926023,0.115,-0.048,10.06,0.021,-0.00565,0.00272,-0.99973
F3:89:79:49:6C:B3,1748009015.4926023,-0.019,-0.038,9.96,0.52112,3e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.4926023,-0.019,-0.038,9.96,0.52112,3e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.4926023,-0.024,-0.038,9.969,0.52112,3e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.4926023,-0.024,-0.038,9.969,0.52112,3e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5034983,-0.019,-0.038,9.974,0.52112,3e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5034983,-0.019,-0.038,9.974,0.52112,3e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5045042,-0.029,-0.034,9.96,0.52112,3e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5045042,-0.029,-0.034,9.96,0.52112,6e-05,0.00232,-0.85342
C3:16:82:EF:1B:48,1748009015.516946,0.12,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.5331137,0.12,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.5341125,0.105,-0.053,10.056,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.5351112,0.105,-0.053,10.056,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.539692,0.11,-0.057,10.056,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.539692,0.11,-0.057,10.056,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.539692,0.11,-0.057,10.07,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.539692,0.11,-0.057,10.07,0.021,-0.00565,0.00272,-0.99973
F3:89:79:49:6C:B3,1748009015.5557768,-0.024,-0.034,9.96,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5557768,-0.024,-0.034,9.96,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5557768,-0.024,-0.034,9.979,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5557768,-0.024,-0.034,9.979,0.52112,6e-05,0.00232,-0.85342
C3:16:82:EF:1B:48,1748009015.576756,0.11,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.576756,0.11,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.576756,0.105,-0.053,10.056,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.576756,0.105,-0.053,10.056,0.021,-0.00565,0.00272,-0.99973
F3:89:79:49:6C:B3,1748009015.5878136,-0.029,-0.029,9.974,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5878136,-0.029,-0.029,9.974,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5878136,-0.019,-0.034,9.965,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.5878136,-0.019,-0.034,9.965,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.6214767,-0.024,-0.038,9.984,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.6214767,-0.024,-0.038,9.984,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.6214767,-0.024,-0.038,9.974,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.6214767,-0.024,-0.038,9.974,0.52112,6e-05,0.00232,-0.85342
C3:16:82:EF:1B:48,1748009015.6383045,0.11,-0.062,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.6383045,0.11,-0.062,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.6383045,0.115,-0.057,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.6383045,0.115,-0.057,10.06,0.021,-0.00565,0.00272,-0.99973
F3:89:79:49:6C:B3,1748009015.6544535,-0.024,-0.034,9.965,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.6554546,-0.024,-0.034,9.965,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.6564538,-0.019,-0.038,9.96,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.6574516,-0.019,-0.038,9.96,0.52112,6e-05,0.00232,-0.85342
C3:16:82:EF:1B:48,1748009015.6684349,0.115,-0.053,10.056,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.670955,0.115,-0.053,10.056,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.67195,0.115,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.6729503,0.115,-0.053,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.6995444,0.115,-0.062,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.701191,0.115,-0.062,10.06,0.021,-0.00565,0.00272,-0.99973
C3:16:82:EF:1B:48,1748009015.701191,0.11,-0.057,10.056,0.021,-0.00565,0.00269,-0.99973
C3:16:82:EF:1B:48,1748009015.703367,0.11,-0.057,10.056,0.021,-0.00565,0.00269,-0.99973
F3:89:79:49:6C:B3,1748009015.7131662,-0.029,-0.038,9.969,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7151515,-0.029,-0.038,9.969,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7167094,-0.024,-0.038,9.965,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7177105,-0.024,-0.038,9.965,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7441459,-0.029,-0.034,9.974,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7451546,-0.029,-0.034,9.974,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7461636,-0.024,-0.029,9.979,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7471547,-0.024,-0.029,9.979,0.52112,6e-05,0.00232,-0.85342
C3:16:82:EF:1B:48,1748009015.7593572,0.11,-0.053,10.06,0.021,-0.00565,0.00269,-0.99973
C3:16:82:EF:1B:48,1748009015.7599995,0.11,-0.053,10.06,0.021,-0.00565,0.00269,-0.99973
C3:16:82:EF:1B:48,1748009015.761356,0.101,-0.048,10.065,0.021,-0.00565,0.00269,-0.99973
C3:16:82:EF:1B:48,1748009015.7885408,0.101,-0.048,10.065,0.021,-0.00565,0.00269,-0.99973
F3:89:79:49:6C:B3,1748009015.7943017,-0.034,-0.038,9.969,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.795667,-0.034,-0.038,9.969,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.796294,-0.029,-0.038,9.969,0.52112,6e-05,0.00232,-0.85342
F3:89:79:49:6C:B3,1748009015.7976506,-0.029,-0.038,9.969,0.52112,6e-05,0.00232,-0.85342
C3:16:82:EF:1B:48,1748009015.7976506,0.11,-0.053,10.06,0.021,-0.00565,0.00269,-0.99973
C3:16:82:EF:1B:48,1748009015.821647,0.11,-0.053,10.06,0.021,-0.00565,0.00269,-0.99973
C3:16:82:EF:1B:48,1748009015.829692,0.11,-0.062,10.06,0.021,-0.00565,0.00269,-0.99973
C3:16:82:EF:1B:48,1748009015.829692,0.11,-0.062,10.06,0.021,-0.00565,0.00269,-0.99973
